rank,simulation_mode,variant,base_variant,source_variant_name,leverage_factor,run_count,pass_rate,fail_rate,expire_rate,avg_time_to_pass,avg_time_to_fail,expected_profit_per_cycle,expected_days_per_cycle,expected_profit_per_day,probability_pass_within_20_days,probability_pass_within_30_days
1,historical_rolling,nominal_x1.8,nominal,nominal,1.8,383,0.2845953002610966,0.7154046997389034,0.0,3.944954128440367,1.9854014598540146,782.2454308093994,2.5430809399477807,307.59753593429156,0.2845953002610966,0.2845953002610966
2,historical_rolling,nominal_x1.5,nominal,nominal,1.5,383,0.3185378590078329,0.6814621409921671,0.0,5.19672131147541,3.0651340996168583,887.467362924282,3.744125326370757,237.0292887029289,0.3185378590078329,0.3185378590078329
3,block_bootstrap,nominal_x1.8,nominal,nominal,1.8,2000,0.2215,0.7785,0.0,3.4830699774266365,2.2215799614643545,586.65,2.501,234.56617353058778,0.2215,0.2215
4,block_bootstrap,nominal_x1.5,nominal,nominal,1.5,2000,0.2795,0.7205,0.0,5.162790697674419,3.6849410131852878,766.4500000000002,4.098,187.03025866276238,0.2795,0.2795
5,historical_rolling,sizing_3state_x1.8,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.8,383,0.370757180156658,0.6292428198433421,0.0,7.112676056338028,4.933609958506224,1049.3472584856397,5.741514360313316,182.7648931332424,0.370757180156658,0.370757180156658
6,historical_rolling,nominal_x1.2,nominal,nominal,1.2,383,0.556135770234987,0.44386422976501305,0.0,9.43661971830986,8.447058823529412,1624.0208877284595,8.997389033942559,180.49912942542076,0.5326370757180157,0.556135770234987
7,block_bootstrap,nominal_x1.2,nominal,nominal,1.2,2000,0.5335,0.4665,0.0,9.36738519212746,8.853161843515542,1553.85,9.1275,170.23829087921118,0.512,0.532
8,block_bootstrap,sizing_3state_x1.8,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.8,2000,0.3745,0.6255,0.0,6.875834445927904,5.883293365307754,1060.95,6.255,169.61630695443645,0.3715,0.3745
9,historical_rolling,sizing_3state_x1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.5,383,0.4151436031331593,0.5848563968668408,0.0,9.477987421383649,6.96875,1186.9451697127936,8.010443864229766,148.17470664928288,0.3968668407310705,0.4151436031331593
10,block_bootstrap,sizing_3state_x1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.5,2000,0.4565,0.5435,0.0,10.32092004381161,8.224471021159154,1315.15,9.1815,143.23912214779722,0.427,0.451
11,historical_rolling,nominal,nominal,nominal,1.0,383,0.587467362924282,0.412532637075718,0.0,12.355555555555556,11.626582278481013,1721.1488250652744,12.054830287206267,142.77669482347846,0.5013054830287206,0.5848563968668408
12,block_bootstrap,nominal,nominal,nominal,1.0,2000,0.5575,0.4425,0.0,12.547085201793722,12.194350282485876,1628.25,12.391,131.40585909127591,0.483,0.543
13,block_bootstrap,sizing_3state_x1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.2,2000,0.596,0.402,0.002,15.48238255033557,14.91542288557214,1747.8,15.3435,113.91142829211066,0.447,0.5505
14,historical_rolling,sizing_3state_x1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.2,383,0.5587467362924282,0.4412532637075718,0.0,14.126168224299066,16.674556213017752,1632.1148825065275,15.25065274151436,107.01934600239686,0.4308093994778068,0.5274151436031331
15,block_bootstrap,sizing_3state,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2000,0.632,0.359,0.009,20.46518987341772,19.02367688022284,1860.1,20.3035,91.61474622602015,0.365,0.5085
16,historical_rolling,sizing_3state,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,383,0.5274151436031331,0.4725848563968668,0.0,17.04950495049505,18.81767955801105,1534.9869451697127,17.885117493472585,85.82481751824817,0.3577023498694517,0.46736292428198434
