stop_multiplier,target_multiplier,trades,net_pnl,winrate,avg_trade,profit_factor,max_drawdown_if_reconstructable,median_holding_minutes,comment
0.75,0.75,275,-1146.6687499999862,0.24363636363636362,-4.169704545454495,0.8712385778251914,-1625.7312499999825,8.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
0.75,1.0,275,-804.4250000000029,0.21454545454545454,-2.9251818181818288,0.9125363559759707,-1353.4249999999993,8.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
0.75,1.25,275,-472.125,0.20363636363636364,-1.7168181818181818,0.9497505487926562,-1498.125,9.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
0.75,1.5,275,-230.9625000000051,0.2,-0.8398636363636549,0.9757086137989056,-1498.125,9.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
0.75,2.0,275,510.5249999999869,0.19636363636363635,1.8564545454544978,1.0534924231509724,-1556.0,9.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.0,0.75,275,-1833.5874999999905,0.2727272727272727,-6.667590909090874,0.8286286742371147,-2185.024999999987,12.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.0,1.0,275,-1538.2250000000058,0.24,-5.593545454545476,0.8617760704497456,-2152.975000000006,14.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.0,1.25,275,-1455.0,0.2290909090909091,-5.290909090909091,0.8714209968186638,-2103.125,14.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.0,1.5,275,-1179.462500000005,0.22545454545454546,-4.288954545454564,0.8971249454862621,-1983.2250000000095,15.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.0,2.0,275,-552.1000000000131,0.22181818181818183,-2.0076363636364114,0.9520413481584422,-1671.0,15.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.25,0.75,275,-2936.337499999998,0.29454545454545455,-10.6775909090909,0.7622567227018331,-3234.3499999999985,14.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.25,1.0,275,-2452.875000000011,0.26181818181818184,-8.919545454545494,0.8072624052174587,-2909.250000000011,17.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.25,1.25,275,-2338.09375,0.24727272727272728,-8.50215909090909,0.8192882538210345,-2877.6875,21.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.25,1.5,275,-1969.750000000011,0.24363636363636362,-7.162727272727312,0.8499109447476442,-2638.8125000000146,24.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.25,2.0,275,-1329.100000000013,0.24,-4.833090909090957,0.8991731148535872,-1966.6250000000073,25.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.5,0.75,275,-3016.693749999995,0.32,-10.969795454545435,0.7741530816597731,-3250.9062499999927,19.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.5,1.0,275,-2620.375000000011,0.28363636363636363,-9.528636363636403,0.8108612880524019,-2989.625000000011,25.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.5,1.25,275,-2383.8125,0.2690909090909091,-8.66840909090909,0.8305898552012081,-2836.28125,28.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.5,1.5,275,-1999.7125000000087,0.26545454545454544,-7.27168181818185,0.8600963724769994,-2596.6500000000124,29.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
1.5,2.0,275,-1439.350000000013,0.26181818181818184,-5.234000000000048,0.8997859045099292,-2190.850000000006,30.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
2.0,0.75,275,-4042.8437499999964,0.3527272727272727,-14.701249999999987,0.7351559941041601,-4244.3374999999905,25.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
2.0,1.0,275,-3436.55000000001,0.32,-12.496545454545492,0.7817162638549237,-3721.8750000000073,34.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
2.0,1.25,275,-3085.53125,0.3054545454545455,-11.220113636363637,0.806804129359464,-3454.6875,44.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
2.0,1.5,275,-2195.7500000000146,0.3054545454545455,-7.984545454545508,0.8625164360403221,-2648.73750000001,52.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
2.0,2.0,275,-1487.600000000013,0.3018181818181818,-5.409454545454593,0.9073867704280147,-2383.0,68.0,Ex-post 1min replay with fixed alpha and stop-first ambiguity convention.
