zone,model_id,atr_period,q_low_pct,q_high_pct,low_threshold_is,high_threshold_is,pass_column
narrow_q20_25__q90_95,narrow_q20_25__q90_95__atr14_q20_q90,14,20.0,90.0,6.553571428571429,24.305357142857144,pass__narrow_q20_25__q90_95__atr14_q20_q90
narrow_q20_25__q90_95,narrow_q20_25__q90_95__atr14_q20_q95,14,20.0,95.0,6.553571428571429,28.818749999999994,pass__narrow_q20_25__q90_95__atr14_q20_q95
narrow_q20_25__q90_95,narrow_q20_25__q90_95__atr14_q25_q90,14,25.0,90.0,7.553571428571429,24.305357142857144,pass__narrow_q20_25__q90_95__atr14_q25_q90
narrow_q20_25__q90_95,narrow_q20_25__q90_95__atr14_q25_q95,14,25.0,95.0,7.553571428571429,28.818749999999994,pass__narrow_q20_25__q90_95__atr14_q25_q95
expanded_q20_25_30__q90_95,expanded_q20_25_30__q90_95__atr14_q20_q90,14,20.0,90.0,6.553571428571429,24.305357142857144,pass__expanded_q20_25_30__q90_95__atr14_q20_q90
expanded_q20_25_30__q90_95,expanded_q20_25_30__q90_95__atr14_q20_q95,14,20.0,95.0,6.553571428571429,28.818749999999994,pass__expanded_q20_25_30__q90_95__atr14_q20_q95
expanded_q20_25_30__q90_95,expanded_q20_25_30__q90_95__atr14_q25_q90,14,25.0,90.0,7.553571428571429,24.305357142857144,pass__expanded_q20_25_30__q90_95__atr14_q25_q90
expanded_q20_25_30__q90_95,expanded_q20_25_30__q90_95__atr14_q25_q95,14,25.0,95.0,7.553571428571429,28.818749999999994,pass__expanded_q20_25_30__q90_95__atr14_q25_q95
expanded_q20_25_30__q90_95,expanded_q20_25_30__q90_95__atr14_q30_q90,14,30.0,90.0,8.607142857142858,24.305357142857144,pass__expanded_q20_25_30__q90_95__atr14_q30_q90
expanded_q20_25_30__q90_95,expanded_q20_25_30__q90_95__atr14_q30_q95,14,30.0,95.0,8.607142857142858,28.818749999999994,pass__expanded_q20_25_30__q90_95__atr14_q30_q95
point_model,point_q20_q90,14,20.0,90.0,6.553571428571429,24.305357142857144,pass__point_q20_q90
point_model_secondary,point_avg_q22p5_q92p5,14,22.5,92.5,7.098660714285714,26.551785714285725,pass__point_avg_q22p5_q92p5
