overall_rank,plan,challenge_strategy,challenge_source_variant_name,challenge_leverage_factor,funded_strategy,funded_source_variant_name,funded_leverage_factor,run_count,pass_rate,first_attempt_pass_rate,avg_days_to_pass,avg_resets,avg_payouts,at_least_one_payout_rate,avg_profit_post_pass,avg_profit_post_pass_all_cycles,avg_subscription_cost_usd,avg_reset_cost_usd,avg_activation_fee_usd,total_cost,net_profit,expected_net_profit_per_cycle,expected_days_per_cycle,expected_net_profit_per_day,plan_rank
1,standard,nominal_x1.8,nominal,1.8,nominal,nominal,1.0,2000,1.0,0.249,18.7575,3.2655,3.755,0.765,2311.351,2311.351,30.63725,160.0095,149.0,339.64675,3415.35325,3415.35325,52.5405,65.00420152073163,1
2,no_activation_fee,nominal_x1.8,nominal,1.8,nominal,nominal,1.0,2000,1.0,0.236,18.2925,3.2435,3.619,0.7645,2136.94,2136.94,66.46275,353.5415,0.0,420.00425,3198.99575,3198.99575,51.7755,61.785897770180874,1
3,no_activation_fee,nominal_x1.5,nominal,1.5,nominal,nominal,1.0,2000,1.0,0.291,23.253,2.485,3.821,0.7785,2376.409,2376.409,84.4859,270.865,0.0,355.3509,3465.6491,3465.6491,57.695,60.06844787243262,2
4,standard,nominal_x1.5,nominal,1.5,nominal,nominal,1.0,2000,1.0,0.2845,23.644,2.5225,3.7545,0.7595,2288.448,2288.448,38.61853333333333,123.6025,149.0,311.2210333333333,3443.2789666666667,3443.2789666666667,57.497,59.88623696308793,2
5,no_activation_fee,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,2000,1.0,0.5045,28.7505,0.9805,3.8755,0.778,2434.11175,2434.11175,104.46015,106.8745,0.0,211.33465,3664.1653499999998,3664.1653499999998,63.0585,58.10739789243321,3
6,no_activation_fee,nominal_x1.8,nominal,1.8,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2000,1.0,0.2345,17.5985,3.084,3.796,0.8165,2708.532900000002,2708.532900000002,63.941216666666676,336.156,0.0,400.09721666666667,3395.902783333333,3395.902783333333,59.1615,57.40055244260766,4
7,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,2000,1.0,0.4995,29.2065,0.979,3.825,0.7745,2353.89725,2353.89725,47.70395,47.971,149.0,244.67495,3580.32505,3580.32505,62.915,56.9073360883732,3
8,standard,nominal_x1.8,nominal,1.8,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2000,1.0,0.2215,18.3535,3.2285,3.715,0.798,2585.881200000002,2585.881200000002,29.977383333333332,158.1965,149.0,337.1738833333333,3377.8261166666666,3377.8261166666666,59.562,56.71109292278074,4
9,no_activation_fee,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2000,1.0,0.2925,23.2525,2.482,3.895,0.81,2828.3514000000014,2828.3514000000014,84.48408333333334,270.538,0.0,355.0220833333332,3539.977916666667,3539.977916666667,65.169,54.31996680425766,5
10,standard,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2000,1.0,0.2815,23.319,2.4645,3.79,0.805,2656.6554000000015,2656.6554000000015,38.0877,120.7605,149.0,307.8482,3482.1517999999996,3482.1517999999996,64.337,54.123627150784145,5
