variant_name,variant_family,description,trigger_column,event_scale,common_start_count,impacted_calendar_days,impacted_traded_days,sample_start_date,sample_end_date,sample_calendar_day_count,sample_traded_day_count,sample_trade_count,sample_total_pnl_usd,sample_avg_pnl_per_calendar_day,sample_avg_pnl_per_traded_day,sample_expectancy_per_trade,sample_win_rate_by_day,sample_avg_win_day,sample_avg_loss_day,sample_profit_factor,sample_sharpe,sample_sortino,sample_max_drawdown,sample_worst_day,sample_longest_losing_streak,rolling_run_count,rolling_pass_rate,rolling_fail_rate,rolling_expire_rate,rolling_median_days_to_pass,rolling_mean_days_to_pass,rolling_median_days_to_fail,rolling_mean_days_to_fail,rolling_median_final_pnl_usd,rolling_mean_final_pnl_usd,rolling_p25_final_pnl_usd,rolling_p75_final_pnl_usd,rolling_daily_loss_violation_rate,rolling_global_max_loss_violation_rate,rolling_static_max_loss_violation_rate,rolling_trailing_drawdown_violation_rate,rolling_daily_limit_before_half_target_rate,rolling_global_limit_before_half_target_rate,rolling_half_target_reached_rate,rolling_near_fail_rate,rolling_mean_time_near_limit_share,rolling_median_mfe_usd,rolling_median_mae_usd,rolling_worst_mae_usd,rolling_median_max_drawdown_usd,rolling_worst_max_drawdown_usd,rolling_median_days_traded,rolling_mean_days_traded,rolling_expected_cycle_days,rolling_expected_net_profit_per_cycle,rolling_expected_net_profit_per_day,rolling_probability_reaching_target_before_breach,rolling_probability_breaching_daily_loss_limit,rolling_probability_breaching_max_loss_limit,rolling_expected_days_to_pass,rolling_insufficient_history_fail_rate,rolling_daily_loss_failure_rate,rolling_trailing_drawdown_failure_rate,sample_total_pnl_retention_vs_baseline,sample_max_drawdown_improvement_vs_baseline,rolling_pass_rate_delta_vs_baseline,rolling_expected_net_profit_per_day_delta_vs_baseline,rolling_global_max_loss_improvement_vs_baseline,rolling_days_to_pass_delta_vs_baseline
baseline,baseline,Trade every eligible day at nominal risk.,none,1.0,49,0,0,2026-01-07,2026-03-19,52,12,12,432.0,8.307692307692308,36.0,36.0,0.6666666666666666,285.5625,-463.125,1.2331983805668016,0.5838595576910119,0.2522127705266011,-990.0,-694.5,1,49,0.0,1.0,0.0,,,3.0,4.285714285714286,-396.0,-232.03061224489795,-990.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,109.0,-396.0,-990.0,-990.0,-990.0,3.0,4.285714285714286,4.285714285714286,-100.0,-23.333333333333336,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
skip_fomc,hard_filter,Skip FOMC rate-decision days.,fomc_day,0.0,49,1,0,2026-01-07,2026-03-19,52,12,12,432.0,8.307692307692308,36.0,36.0,0.6666666666666666,285.5625,-463.125,1.2331983805668016,0.5838595576910119,0.2522127705266011,-990.0,-694.5,1,49,0.0,1.0,0.0,,,3.0,4.285714285714286,-396.0,-232.03061224489795,-990.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,109.0,-396.0,-990.0,-990.0,-990.0,3.0,4.285714285714286,4.285714285714286,-100.0,-23.333333333333336,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
skip_cpi_nfp,hard_filter,Skip CPI / core CPI / NFP days.,cpi_or_nfp_day,0.0,49,2,0,2026-01-07,2026-03-19,52,12,12,432.0,8.307692307692308,36.0,36.0,0.6666666666666666,285.5625,-463.125,1.2331983805668016,0.5838595576910119,0.2522127705266011,-990.0,-694.5,1,49,0.0,1.0,0.0,,,3.0,4.285714285714286,-396.0,-232.03061224489795,-990.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,109.0,-396.0,-990.0,-990.0,-990.0,3.0,4.285714285714286,4.285714285714286,-100.0,-23.333333333333336,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
skip_all_high_impact,hard_filter,Skip every high-impact macro day.,any_high_impact_macro_day,0.0,49,4,0,2026-01-07,2026-03-19,52,12,12,432.0,8.307692307692308,36.0,36.0,0.6666666666666666,285.5625,-463.125,1.2331983805668016,0.5838595576910119,0.2522127705266011,-990.0,-694.5,1,49,0.0,1.0,0.0,,,3.0,4.285714285714286,-396.0,-232.03061224489795,-990.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,109.0,-396.0,-990.0,-990.0,-990.0,3.0,4.285714285714286,4.285714285714286,-100.0,-23.333333333333336,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
deleverage_fomc_0.5x,deleverage,Trade FOMC days at 0.5x nominal risk.,fomc_day,0.5,49,1,0,2026-01-07,2026-03-19,52,12,12,432.0,8.307692307692308,36.0,36.0,0.6666666666666666,285.5625,-463.125,1.2331983805668016,0.5838595576910119,0.2522127705266011,-990.0,-694.5,1,49,0.0,1.0,0.0,,,3.0,4.285714285714286,-396.0,-232.03061224489795,-990.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,109.0,-396.0,-990.0,-990.0,-990.0,3.0,4.285714285714286,4.285714285714286,-100.0,-23.333333333333336,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
deleverage_cpi_nfp_0.5x,deleverage,Trade CPI / core CPI / NFP days at 0.5x nominal risk.,cpi_or_nfp_day,0.5,49,2,0,2026-01-07,2026-03-19,52,12,12,432.0,8.307692307692308,36.0,36.0,0.6666666666666666,285.5625,-463.125,1.2331983805668016,0.5838595576910119,0.2522127705266011,-990.0,-694.5,1,49,0.0,1.0,0.0,,,3.0,4.285714285714286,-396.0,-232.03061224489795,-990.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,109.0,-396.0,-990.0,-990.0,-990.0,3.0,4.285714285714286,4.285714285714286,-100.0,-23.333333333333336,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
deleverage_all_high_impact_0.5x,deleverage,Trade every high-impact macro day at 0.5x nominal risk.,any_high_impact_macro_day,0.5,49,4,0,2026-01-07,2026-03-19,52,12,12,432.0,8.307692307692308,36.0,36.0,0.6666666666666666,285.5625,-463.125,1.2331983805668016,0.5838595576910119,0.2522127705266011,-990.0,-694.5,1,49,0.0,1.0,0.0,,,3.0,4.285714285714286,-396.0,-232.03061224489795,-990.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,109.0,-396.0,-990.0,-990.0,-990.0,3.0,4.285714285714286,4.285714285714286,-100.0,-23.333333333333336,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
deleverage_fomc_0.25x,deleverage,Trade FOMC days at 0.25x nominal risk.,fomc_day,0.25,49,1,0,2026-01-07,2026-03-19,52,12,12,432.0,8.307692307692308,36.0,36.0,0.6666666666666666,285.5625,-463.125,1.2331983805668016,0.5838595576910119,0.2522127705266011,-990.0,-694.5,1,49,0.0,1.0,0.0,,,3.0,4.285714285714286,-396.0,-232.03061224489795,-990.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,109.0,-396.0,-990.0,-990.0,-990.0,3.0,4.285714285714286,4.285714285714286,-100.0,-23.333333333333336,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
deleverage_cpi_nfp_0.25x,deleverage,Trade CPI / core CPI / NFP days at 0.25x nominal risk.,cpi_or_nfp_day,0.25,49,2,0,2026-01-07,2026-03-19,52,12,12,432.0,8.307692307692308,36.0,36.0,0.6666666666666666,285.5625,-463.125,1.2331983805668016,0.5838595576910119,0.2522127705266011,-990.0,-694.5,1,49,0.0,1.0,0.0,,,3.0,4.285714285714286,-396.0,-232.03061224489795,-990.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,109.0,-396.0,-990.0,-990.0,-990.0,3.0,4.285714285714286,4.285714285714286,-100.0,-23.333333333333336,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
deleverage_all_high_impact_0.25x,deleverage,Trade every high-impact macro day at 0.25x nominal risk.,any_high_impact_macro_day,0.25,49,4,0,2026-01-07,2026-03-19,52,12,12,432.0,8.307692307692308,36.0,36.0,0.6666666666666666,285.5625,-463.125,1.2331983805668016,0.5838595576910119,0.2522127705266011,-990.0,-694.5,1,49,0.0,1.0,0.0,,,3.0,4.285714285714286,-396.0,-232.03061224489795,-990.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,109.0,-396.0,-990.0,-990.0,-990.0,3.0,4.285714285714286,4.285714285714286,-100.0,-23.333333333333336,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
