variant_name,box_lookback,compression_threshold,target_r,asset_count,oos_positive_assets,oos_profit_factor_gt_1_assets,oos_total_trades,oos_total_net_pnl,oos_median_profit_factor,oos_median_sharpe,oos_mean_expectancy,oos_median_win_rate,oos_worst_max_drawdown,oos_median_holding_minutes,oos_median_time_in_market_pct,oos_median_top_5_day_contribution_pct,screening_score,pass_screening
vceb_n12_ct20_tr1p8,12,20.0,1.8,4,1,1,808,-2717.9114583331175,0.8280022513777494,-0.5512462398004909,-3.015628016413583,0.3962070120055484,-2099.0677083333358,35.0,0.03183150183150183,1.3037457730542745,-2.4190128893339566,False
vceb_n16_ct15_tr1p8,16,15.0,1.8,4,0,0,525,-3914.7499999998417,0.6950498039168338,-1.0733160276217555,-7.340501734553948,0.3685245223149617,-1608.0374999998894,42.5,0.02343101343101343,0.6659567627684001,-2.630131934585497,False
vceb_n16_ct15_tr2p2,16,15.0,2.2,4,0,0,523,-4041.637499999828,0.6521655020950283,-1.0907882752602693,-7.597706446617779,0.3622693096377307,-1466.6374999999025,47.5,0.02452991452991453,0.7160861570046668,-2.7527896950081603,False
vceb_n16_ct20_tr1p8,16,20.0,1.8,4,0,0,676,-4976.699999999818,0.6978857051162313,-1.0773741268292318,-7.286208272011297,0.3786601224934978,-2083.1812500000015,47.5,0.03105006105006105,0.6385299834182924,-2.7686524019687058,False
vceb_n8_ct15_tr2p2,8,15.0,2.2,4,0,0,749,-4322.391666666472,0.8314001858433926,-0.7145028729516616,-5.443560232029305,0.35984672908748183,-2559.0781250000073,30.0,0.028986568986568984,1.0993529830755397,-2.8140353670797946,False
vceb_n8_ct20_tr1p8,8,20.0,1.8,4,0,0,1026,-6513.766666666417,0.8045572502706733,-1.005553982629334,-6.055575997784867,0.36696191937508715,-3019.015625,27.5,0.036495726495726494,0.6977303110375486,-2.820592568072095,False
vceb_n8_ct20_tr2p2,8,20.0,2.2,4,0,0,1023,-6954.645833333048,0.7837035163531612,-1.1050879816664123,-6.507037296975418,0.34657320872274144,-3293.8281250000146,32.5,0.03896214896214896,0.6066048878066009,-2.855514826492728,False
vceb_n16_ct20_tr2p2,16,20.0,2.2,4,0,0,674,-5323.137499999813,0.7052903094515497,-0.9959036329916888,-7.814987155312623,0.36456267668030884,-2562.881250000006,50.0,0.032380952380952385,0.7229569167130798,-2.8964771892189702,False
vceb_n12_ct20_tr2p2,12,20.0,2.2,4,0,0,806,-3822.136458333117,0.8060888238954713,-0.6322254774851204,-4.378964207196919,0.3811438366838086,-2450.630208333321,40.0,0.033772893772893775,1.2916971592269966,-2.9280894621588613,False
vceb_n8_ct15_tr1p8,8,15.0,1.8,4,0,0,750,-4319.737499999822,0.8660058006392722,-0.5131604119126252,-5.37456571987213,0.38192608080683843,-2593.7552083333285,27.5,0.026874236874236873,1.5248466007570436,-3.028128361057497,False
vceb_n12_ct15_tr2p2,12,15.0,2.2,4,1,1,621,-2076.286458333182,0.8452905010939014,-0.598656487669465,-3.260852291400498,0.3662377066331869,-1563.9562499999956,38.75,0.02474969474969475,2.0631169740513875,-3.0710394727837573,False
vceb_n12_ct15_tr1p8,12,15.0,1.8,4,1,1,622,-946.0739583331781,0.9021794357626077,-0.3557086828919621,-1.4616453714251287,0.38627327892864616,-1339.0562500000015,33.75,0.023284493284493286,3.749032297273046,-4.267943979553693,False
